City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cansancao,BR,65.86,broken clouds,-10.6672,-39.4992,MIGUEL
1,Shimoda,JP,79.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
3,Jamestown,US,83.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Faanui,PF,78.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Saint-Pierre,RE,67.68,broken clouds,-21.3393,55.4781,Alize Plage
10,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
12,Ponnani,IN,74.52,overcast clouds,10.767,75.9252,Rouba Residency
16,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
21,Hithadhoo,MV,80.42,overcast clouds,-0.6,73.0833,Scoop Guest House
25,Mantua,IT,81.64,clear sky,45.1667,10.7833,Hotel la Favorita
29,Carnarvon,AU,72.21,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
32,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
34,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
35,Panguna,PG,80.96,broken clouds,-6.3164,155.4848,
36,Mahajanga,MG,67.21,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
37,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Boma,GH,69.06,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
44,Jintur,IN,75.18,overcast clouds,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
47,Shebunino,RU,65.89,scattered clouds,46.4339,141.8603,
48,Nurota,UZ,80.13,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
50,Rovinj,HR,72.5,clear sky,45.08,13.64,Hotel Monte Mulini
51,Rikitea,PF,73.33,light rain,-23.1203,-134.9692,People ThankYou
53,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
54,Tecoanapa,MX,84.36,overcast clouds,16.5167,-98.75,Hotel Manglares
56,Sokolo,ML,80.26,overcast clouds,14.7328,-6.1219,
59,Butaritari,KI,81.05,moderate rain,3.0707,172.7902,Isles Sunset Lodge
64,Bireun,ID,77.38,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
65,Lusambo,CD,75.33,broken clouds,-4.9667,23.45,
66,Sao Filipe,CV,76.23,broken clouds,14.8961,-24.4956,Hotel Xaguate
67,Namatanai,PG,84.18,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
69,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
70,Koplik,AL,69.4,clear sky,42.2136,19.4364,Hotel Antonis
74,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Arraial Do Cabo,BR,69.84,clear sky,-22.9661,-42.0278,Pousada Porto Praia
77,Port-Gentil,GA,73.98,overcast clouds,-0.7193,8.7815,Fengshui Residence
80,Dingle,PH,81.27,light rain,10.9995,122.6711,SEGAYA PROPERTY
90,Shinpokh,PK,81.81,clear sky,34.3292,71.1782,
98,Hasaki,JP,84.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
101,Mocajuba,BR,78.1,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
102,Shelburne,CA,74.23,light rain,44.0787,-80.2041,The Retreat at the Farm
103,Tharad,IN,82.67,overcast clouds,24.3961,71.6267,Suresh Parmar
104,Yellowknife,CA,68.52,broken clouds,62.456,-114.3525,The Explorer Hotel
107,Banda Aceh,ID,80.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
109,Aklavik,CA,67.05,overcast clouds,68.2191,-135.0107,Aklavik Inn
110,Katherine,AU,73.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
112,Maceio,BR,75.47,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
113,Sumbe,AO,66.88,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
114,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
115,San Lazaro,BZ,81.55,broken clouds,18.0387,-88.6622,
117,Shache,CN,74.73,clear sky,38.4167,77.2406,Delong Hotel
124,Benguela,AO,65.95,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
129,Dhamtari,IN,75.15,overcast clouds,20.7072,81.5497,shimon inn
132,Kemin,KG,67.62,clear sky,42.7846,75.6892,Hotel Kok-Oirok
133,Marawi,PH,75.0,scattered clouds,7.9986,124.2928,Derogongan Residence
134,Kabinda,CD,73.89,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
135,Pachino,IT,79.25,clear sky,36.7186,15.0907,Il Veliero
136,Vostok,RU,66.85,light rain,46.4856,135.8833,
138,Jian,CN,82.22,overcast clouds,27.1172,114.9793,Luling International Hotel
139,Bengkulu,ID,75.7,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
