City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Shimoda,JP,79.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
1,Jamestown,US,83.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Faanui,PF,78.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
4,Ponnani,IN,74.52,overcast clouds,10.767,75.9252,Rouba Residency
5,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
6,Hithadhoo,MV,80.42,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Mantua,IT,81.64,clear sky,45.1667,10.7833,Hotel la Favorita
8,Carnarvon,AU,72.21,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
9,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
10,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
11,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Jintur,IN,75.18,overcast clouds,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
13,Nurota,UZ,80.13,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
14,Rovinj,HR,72.5,clear sky,45.08,13.64,Hotel Monte Mulini
15,Rikitea,PF,73.33,light rain,-23.1203,-134.9692,People ThankYou
16,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Tecoanapa,MX,84.36,overcast clouds,16.5167,-98.75,Hotel Manglares
18,Butaritari,KI,81.05,moderate rain,3.0707,172.7902,Isles Sunset Lodge
19,Bireun,ID,77.38,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
20,Sao Filipe,CV,76.23,broken clouds,14.8961,-24.4956,Hotel Xaguate
21,Namatanai,PG,84.18,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
22,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
23,Port-Gentil,GA,73.98,overcast clouds,-0.7193,8.7815,Fengshui Residence
24,Dingle,PH,81.27,light rain,10.9995,122.6711,SEGAYA PROPERTY
25,Hasaki,JP,84.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
26,Mocajuba,BR,78.1,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
27,Shelburne,CA,74.23,light rain,44.0787,-80.2041,The Retreat at the Farm
28,Tharad,IN,82.67,overcast clouds,24.3961,71.6267,Suresh Parmar
29,Banda Aceh,ID,80.1,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
30,Katherine,AU,73.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
31,Maceio,BR,75.47,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
32,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
33,Shache,CN,74.73,clear sky,38.4167,77.2406,Delong Hotel
34,Dhamtari,IN,75.15,overcast clouds,20.7072,81.5497,shimon inn
35,Marawi,PH,75.0,scattered clouds,7.9986,124.2928,Derogongan Residence
36,Kabinda,CD,73.89,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
37,Pachino,IT,79.25,clear sky,36.7186,15.0907,Il Veliero
38,Jian,CN,82.22,overcast clouds,27.1172,114.9793,Luling International Hotel
39,Bengkulu,ID,75.7,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Kaset Sombun,TH,76.57,overcast clouds,16.2805,101.9542,โรงแรมบุญเทวา
41,Savannah Bight,HN,82.85,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
42,Katsuura,JP,80.35,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
43,Cockburn Town,TC,82.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
44,Kulhudhuffushi,MV,80.58,overcast clouds,6.6221,73.07,Haajy Guest House 1
45,Thompson,CA,71.31,broken clouds,55.7435,-97.8558,Burntwood Hotel
46,Kibala,TD,71.08,broken clouds,9.1104,18.3463,Prasant Hotels
47,Biak,ID,79.25,scattered clouds,-0.9131,122.8766,Penginapan Kim
48,Alofi,NU,73.29,heavy intensity shower rain,-19.0595,-169.9187,Taloa Heights
49,Guerrero Negro,MX,79.9,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
50,Gurmatkal,IN,73.51,overcast clouds,16.8667,77.4,Patange Enterprises
51,Fez,MA,82.65,clear sky,34.0372,-4.9998,Hotel Mounia Fès
52,Trairi,BR,77.59,broken clouds,-3.2778,-39.2689,janelas do mar
53,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
54,Xinzhi,CN,77.72,clear sky,36.4989,111.7047,Mingyue Hotel
55,Matay,EG,79.65,clear sky,28.419,30.7792,Nag Aespen
56,Amuntai,ID,77.02,clear sky,-2.4177,115.2494,Hotel Balqis
57,Cabrera,DO,78.73,clear sky,19.6426,-69.9049,Terramar Hotel
58,Tucurui,BR,81.1,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
59,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
60,Sinnamary,GF,77.34,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
61,Presidente Epitacio,BR,73.81,scattered clouds,-21.7633,-52.1156,Hotel Itaverá
62,Bull Savanna,JM,78.76,few clouds,17.8868,-77.5902,Big Red's
63,Kalmunai,LK,79.27,broken clouds,7.4167,81.8167,VS Villa
64,Port Blair,IN,80.26,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
65,Sur,OM,83.19,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
66,Seoul,KR,71.17,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
67,Padang,ID,73.45,scattered clouds,-0.9492,100.3543,Mercure Padang
68,Dubuque,US,81.52,clear sky,42.4833,-90.8668,American Inn and Suites
69,Barcelos,PT,70.84,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
70,Cabo Rojo,PR,83.97,scattered clouds,18.0866,-67.1457,Hotel Perichi's
71,Tual,ID,78.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
72,High Level,CA,73.51,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
73,Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
74,Aksu,CN,72.43,clear sky,41.1231,80.2644,Pudong Holiday Hotel
75,Seminole,US,80.96,heavy intensity rain,28.7086,-81.2081,The Oviedo Lodge Motel
76,Atuona,PF,77.56,clear sky,-9.8,-139.0333,Villa Enata
77,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
78,Prachuap Khiri Khan,TH,71.42,light rain,12.2167,99.75,ผกากรองรีสอร์ท
79,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
80,Khandyga,RU,80.04,clear sky,62.6667,135.6,Apel'sin
81,Shu,KZ,72.39,clear sky,43.5983,73.7614,Shyngyzkhan
82,Boldumsaz,TM,82.45,clear sky,42.1282,59.671,Sarar oba
83,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
84,Odesa,UA,71.62,broken clouds,46.4775,30.7326,Londonskaya Hotel
85,Takoradi,GH,73.24,scattered clouds,4.8845,-1.7554,Raybow International Hotel
86,Tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
87,Kiunga,PG,73.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
88,Mandiana,GN,71.11,moderate rain,10.6333,-8.6833,Motels rouzo
89,Akyab,MM,81.72,overcast clouds,20.15,92.9,Hotel Memory
90,Veracruz,MX,80.19,broken clouds,19.3333,-96.6667,El Carrizal
91,Buchanan,LR,74.93,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
92,Katobu,ID,79.0,few clouds,-4.9408,122.5276,La Ode Husein
93,Havre-Saint-Pierre,CA,70.16,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
94,Tezu,IN,76.69,overcast clouds,27.9167,96.1667,Circuit House
95,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
96,San Quintin,MX,74.37,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
97,Vila Franca Do Campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
98,Ares,BR,75.29,broken clouds,-6.1944,-35.1603,Recanto dos Pássaros
99,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
100,Cintalapa,MX,76.87,broken clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
101,Pilar,BR,75.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
102,Zalantun,CN,76.75,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
