City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sobolevo,54.4299,31.8996,56.44,89,67,6.96,RU,2022-07-19 20:28:19
1,Saint-Philippe,-21.3585,55.7679,67.59,79,42,21.18,RE,2022-07-19 20:26:11
2,Mataura,-46.1927,168.8643,41.49,90,89,3.18,NZ,2022-07-19 20:23:14
3,Mgandu,-5.95,34.1333,62.06,56,9,10.22,TZ,2022-07-19 20:28:20
4,Sinnamary,5.3833,-52.95,80.64,81,93,10.25,GF,2022-07-19 20:28:20
5,Butaritari,3.0707,172.7902,81.72,78,98,15.73,KI,2022-07-19 20:28:21
6,Adrar,20.5022,-10.0711,99.84,8,0,9.62,MR,2022-07-19 20:23:15
7,Atuona,-9.8,-139.0333,78.42,62,10,11.59,PF,2022-07-19 20:24:33
8,Torbay,47.6666,-52.7314,68.88,87,100,17.27,CA,2022-07-19 20:27:06
9,Fortuna,40.5982,-124.1573,64.98,69,30,7.4,US,2022-07-19 20:25:20
10,Rikitea,-23.1203,-134.9692,74.16,73,0,10.25,PF,2022-07-19 20:23:18
11,New Norfolk,-42.7826,147.0587,38.71,86,4,2.82,AU,2022-07-19 20:24:39
12,Hasaki,35.7333,140.8333,75.6,95,52,5.44,JP,2022-07-19 20:27:28
13,Busselton,-33.65,115.3333,58.37,79,100,10.38,AU,2022-07-19 20:24:27
14,Rundu,-17.9333,19.7667,55.0,39,0,4.45,NA,2022-07-19 20:28:22
15,Nikolskoye,59.7035,30.7861,62.49,95,51,5.14,RU,2022-07-19 20:25:49
16,Aykhal,66.0,111.5,45.01,90,79,11.52,RU,2022-07-19 20:26:59
17,Bluff,-46.6,168.3333,41.81,73,89,13.67,NZ,2022-07-19 20:28:23
18,Bathsheba,13.2167,-59.5167,84.81,87,75,16.11,BB,2022-07-19 20:26:26
19,Punta Arenas,-53.15,-70.9167,42.12,75,84,16.53,CL,2022-07-19 20:23:24
20,Regeneracao,-6.2378,-42.6883,93.24,26,82,6.76,BR,2022-07-19 20:28:23
21,Provideniya,64.3833,-173.3,46.0,68,98,1.88,RU,2022-07-19 20:26:58
22,Riberalta,-10.9833,-66.1,91.6,38,40,17.27,BO,2022-07-19 20:28:24
23,Chuy,-33.6971,-53.4616,51.15,75,1,5.14,UY,2022-07-19 20:24:37
24,Touros,-5.1989,-35.4608,77.43,77,22,17.29,BR,2022-07-19 20:28:24
25,Kargasok,59.0556,80.8572,55.56,97,100,2.73,RU,2022-07-19 20:28:25
26,Lorengau,-2.0226,147.2712,78.15,85,100,3.06,PG,2022-07-19 20:25:54
27,Carnarvon,-24.8667,113.6333,64.35,48,36,6.55,AU,2022-07-19 20:27:05
28,Sao Filipe,14.8961,-24.4956,77.97,82,78,7.76,CV,2022-07-19 20:28:25
29,Cayenne,4.9333,-52.3333,82.09,1,100,4.61,GF,2022-07-19 20:25:43
30,Massakory,12.996,15.7293,83.86,57,15,5.1,TD,2022-07-19 20:28:26
31,Rawson,-43.3002,-65.1023,56.34,35,100,30.13,AR,2022-07-19 20:28:26
32,Moengo,5.6167,-54.4,78.22,87,95,2.53,SR,2022-07-19 20:28:27
33,Puerto Ayora,-0.7393,-90.3518,78.76,90,54,5.01,EC,2022-07-19 20:21:43
34,Morshansk,53.4435,41.8107,56.32,78,90,6.6,RU,2022-07-19 20:28:27
35,Ushuaia,-54.8,-68.3,33.89,94,100,6.87,AR,2022-07-19 20:22:05
36,Pauini,-7.7136,-66.9764,93.96,32,58,3.2,BR,2022-07-19 20:27:32
37,Albany,42.6001,-73.9662,90.57,45,99,3.0,US,2022-07-19 20:22:48
38,Castro,-24.7911,-50.0119,67.93,76,0,1.52,BR,2022-07-19 20:28:28
39,Jacareacanga,-6.2222,-57.7528,96.48,25,7,4.32,BR,2022-07-19 20:28:28
40,Walvis Bay,-22.9575,14.5053,58.35,73,0,16.22,NA,2022-07-19 20:28:29
41,Pangnirtung,66.1451,-65.7125,49.1,78,100,1.61,CA,2022-07-19 20:28:29
42,Trenggalek,-8.05,111.7167,71.87,95,73,1.97,ID,2022-07-19 20:28:29
43,Chokurdakh,70.6333,147.9167,38.23,78,100,7.16,RU,2022-07-19 20:23:20
44,Kruisfontein,-34.0033,24.7314,54.88,89,100,15.7,ZA,2022-07-19 20:26:18
45,Asau,46.4333,26.4,70.72,52,98,3.04,RO,2022-07-19 20:28:30
46,Hilo,19.7297,-155.09,84.27,84,100,8.05,US,2022-07-19 20:27:12
47,Kaitangata,-46.2817,169.8464,43.86,78,96,6.82,NZ,2022-07-19 20:25:44
48,Saint George,37.1041,-113.5841,103.95,18,0,7.0,US,2022-07-19 20:28:53
49,Souillac,-20.5167,57.5167,68.38,73,40,23.02,MU,2022-07-19 20:25:49
50,Boa Esperanca,-21.09,-45.5658,76.46,37,69,1.81,BR,2022-07-19 20:29:31
51,Avarua,-21.2078,-159.775,75.25,69,75,6.91,CK,2022-07-19 20:24:29
52,Alyangula,-13.8483,136.4192,55.27,100,100,0.0,AU,2022-07-19 20:29:31
53,Roald,62.5833,6.1333,76.12,72,0,12.66,NO,2022-07-19 20:28:15
54,Noumea,-22.2763,166.4572,73.99,99,58,3.24,NC,2022-07-19 20:29:32
55,Jamestown,42.097,-79.2353,86.95,54,36,5.99,US,2022-07-19 20:23:22
56,Beyneu,45.3167,55.2,96.8,20,77,8.99,KZ,2022-07-19 20:29:32
57,Port Alfred,-33.5906,26.891,62.19,92,96,5.01,ZA,2022-07-19 20:24:29
58,Ginir,7.1333,40.7,59.58,69,67,11.65,ET,2022-07-19 20:29:33
59,Bambous Virieux,-20.3428,57.7575,70.21,73,40,23.02,MU,2022-07-19 20:23:19
60,Kangaatsiaq,68.3065,-53.4641,41.54,98,100,2.17,GL,2022-07-19 20:29:33
61,Cape Town,-33.9258,18.4232,54.91,78,0,3.0,ZA,2022-07-19 20:22:29
62,Vao,-22.6667,167.4833,73.87,88,99,17.47,NC,2022-07-19 20:24:58
63,Saskylakh,71.9167,114.0833,38.39,73,99,13.22,RU,2022-07-19 20:24:36
64,Port Stanley,-51.7,-57.85,43.09,71,100,33.8,FK,2022-07-19 20:29:34
65,Maues,-3.3836,-57.7186,95.25,33,57,3.58,BR,2022-07-19 20:29:34
